<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Chris Babb,2014,2014,G,6-5,225,February 14 1990,Iowa State University
Luke Babbitt,2011,2016,F,6-9,225,June 20 1989,University of Nevada Reno
Milos Babic,1991,1992,C-F,7-0,240,November 23 1968,Tennessee Technological University
Johnny Bach,1949,1949,F-G,6-2,180,July 10 1924,Fordham University
Henry Bacon,1973,1973,G,6-3,205,July 5 1948,University of Louisville
Jim Baechtold,1953,1957,F-G,6-4,205,December 9 1927,Eastern Kentucky University
Dalibor Bagaric,2001,2003,C,7-1,255,February 7 1980,
John Bagley,1983,1994,G,6-0,185,April 23 1960,Boston College
Carl Bailey,1982,1982,C,7-0,210,April 23 1958,Tuskegee University
Gus Bailey,1975,1980,G-F,6-5,185,February 18 1951,University of Texas at El Paso
James Bailey,1980,1988,F-C,6-9,220,May 21 1957,Rutgers University
Thurl Bailey,1984,1999,F-C,6-11,215,April 7 1961,North Carolina State University
Toby Bailey,1999,2000,G,6-6,213,November 19 1975,University of California Los Angeles
Cameron Bairstow,2015,2016,F-C,6-9,250,December 7 1990,University of New Mexico
Jimmie Baker,1976,1976,F,6-9,220,December 25 1953,University of Hawaii
LaMark Baker,1999,1999,G,6-1,175,November 11 1969,Ohio State University
Maurice Baker,2005,2005,G,6-1,175,July 28 1979,Oklahoma State University
Norm Baker,1947,1947,G,6-0,180,February 17 1923,
Vin Baker,1994,2006,F,6-11,232,November 23 1971,University of Hartford
Renaldo Balkman,2007,2012,F,6-8,208,July 14 1984,University of South Carolina
Cedric Ball,1991,1991,F,6-8,210,April 16 1968,University of North Carolina at Charlotte
Greg Ballard,1978,1989,F,6-7,215,January 29 1955,University of Oregon
Herschel Baltimore,1947,1947,F,6-4,195,June 21 1921,Pennsylvania State University
Gene Banks,1982,1987,F-G,6-7,215,May 15 1959,Duke University
Marcus Banks,2004,2011,G,6-2,200,November 19 1981,University of Nevada Las Vegas
Walker Banks,1971,1971,C,6-10,205,August 26 1947,Western Kentucky University
Ken Bannister,1985,1991,F-C,6-9,235,April 1 1960,Saint Augustine's College
