<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Dwyane Wade,2004,2016,G,6-4,220,January 17 1982,Marquette University
Mark Wade,1988,1990,G,5-11,160,October 15 1965,University of Nevada Las Vegas
Von Wafer,2006,2012,G,6-5,210,July 21 1985,Florida State University
Clint Wager,1950,1950,C-F,6-6,210,January 20 1920,Saint Mary's University of Minnesota
Dajuan Wagner,2003,2007,G,6-2,200,February 4 1983,University of Memphis
Danny Wagner,1950,1950,G,6-0,170,August 1 1922,University of Texas at Austin
Milt Wagner,1988,1991,G,6-5,185,February 20 1963,University of Louisville
Phillip Wagner,1969,1969,G,6-2,190,December 18 1945,Georgia Institute of Technology
Dion Waiters,2013,2016,G,6-4,225,December 10 1991,Syracuse University
Granville Waiters,1984,1988,C,6-11,225,January 8 1961,Ohio State University
Andre Wakefield,1979,1980,G,6-3,175,January 11 1955,Loyola University of Chicago
Neal Walk,1970,1977,C,6-10,220,July 29 1948,University of Florida
Andy Walker,1977,1977,G,6-4,190,March 25 1955,Niagara University
Antoine Walker,1997,2008,F,6-8,224,August 12 1976,University of Kentucky
Brady Walker,1949,1952,F-C,6-6,205,March 15 1921,Brigham Young University
Chet Walker*,1963,1975,F-G,6-6,212,February 22 1940,Bradley University
Darrell Walker,1984,1993,G,6-4,180,March 9 1961,University of Arkansas
Foots Walker,1975,1984,G,6-0,184,May 21 1951,State University of West Georgia
Henry Walker,2009,2015,F,6-6,220,October 9 1987,Kansas State University
Horace Walker,1962,1962,F,6-3,210,April 17 1937,Michigan State University
Jimmy Walker,1968,1976,G,6-3,195,April 8 1944,Providence College
Kemba Walker,2012,2016,G,6-1,172,May 8 1990,University of Connecticut
Kenny Walker,1987,1995,F,6-8,210,August 18 1964,University of Kentucky
Phil Walker,1978,1978,G,6-3,180,March 20 1956,Millersville University of Pennsylvania
Samaki Walker,1997,2006,F,6-9,240,February 25 1976,University of Louisville
Wally Walker,1977,1984,F,6-7,190,July 18 1954,University of Virginia
John Wall,2011,2016,G,6-4,195,September 6 1990,University of Kentucky
Ben Wallace,1997,2012,F-C,6-9,240,September 10 1974,Virginia Union University
Gerald Wallace,2002,2015,F,6-7,215,July 23 1982,University of Alabama
John Wallace,1997,2004,F,6-8,225,February 9 1974,Syracuse University
Rasheed Wallace,1996,2013,F-C,6-10,225,September 17 1974,University of North Carolina
Red Wallace,1947,1947,G,6-1,185,July 12 1918,University of Scranton
Dwight Waller,1969,1972,F,6-6,220,October 5 1945,Tennessee State University
Jamie Waller,1988,1988,G,6-4,215,November 20 1964,Virginia Union University
Jim Walsh,1958,1958,F,6-4,195,August 29 1930,Stanford University
Matt Walsh,2006,2006,G-F,6-6,205,December 2 1982,University of Florida
Rex Walters,1994,2000,G,6-4,190,March 12 1970,University of Kansas
Paul Walther,1950,1955,G-F,6-2,160,March 23 1927,University of Tennessee
Isaac Walthour,1954,1954,G,5-11,163,August 25 1930,
Bill Walton*,1975,1987,C-F,6-11,210,November 5 1952,University of California Los Angeles
Lloyd Walton,1977,1981,G,6-0,160,November 23 1953,Marquette University
Luke Walton,2004,2013,F,6-8,235,March 28 1980,University of Arizona
Bobby Wanzer*,1949,1957,G,6-0,170,June 4 1921,Seton Hall University
Perry Warbington,1975,1975,G,6-2,165,September 7 1952,Georgia Southern University
Charlie Ward,1995,2005,G,6-2,190,October 12 1970,Florida State University
Gerry Ward,1964,1967,G,6-4,195,September 6 1941,Boston College
Henry Ward,1976,1977,G-F,6-4,195,January 30 1952,Jackson State University
Casper Ware,2014,2014,G,5-10,175,January 17 1990,California State University Long Beach
Jim Ware,1967,1969,F,6-7,210,May 2 1944,Oklahoma City University
Ben Warley,1963,1970,F-G,6-5,200,September 4 1936,Tennessee State University
Bob Warlick,1966,1970,G-F,6-5,200,March 20 1941,Pepperdine University
Cornell Warner,1971,1977,F-C,6-9,220,August 12 1948,Jackson State University
Bob Warren,1969,1976,G,6-5,190,July 17 1946,Vanderbilt University
John Warren,1970,1974,G-F,6-3,180,July 7 1947,St. John's University
T.J. Warren,2015,2016,F,6-8,230,September 5 1993,North Carolina State University
Willie Warren,2011,2011,G,6-4,203,October 22 1989,University of Oklahoma
Bryan Warrick,1983,1986,G,6-5,195,July 22 1959,Saint Joseph's University
Hakim Warrick,2006,2013,F,6-9,219,July 8 1982,Syracuse University
Chris Washburn,1987,1988,C,6-11,225,May 13 1965,North Carolina State University
Bobby Washington,1970,1972,G,5-11,175,July 11 1947,Eastern Kentucky University
Darius Washington,2008,2008,G,6-2,195,December 6 1985,University of Memphis
Donald Washington,1975,1976,F,6-8,210,April 22 1952,University of North Carolina
Duane Washington,1988,1993,G,6-4,195,August 31 1964,Middle Tennessee State University
Eric Washington,1998,1999,G,6-4,190,March 23 1974,University of Alabama
Jim Washington,1966,1976,F-C,6-6,210,July 1 1943,Villanova University
Kermit Washington,1974,1988,F-C,6-8,230,September 17 1951,American University
Pearl Washington,1987,1989,G,6-2,190,January 6 1964,Syracuse University
