<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Zan Tabak,1995,2001,C,7-0,245,June 15 1970,
Yuta Tabuse,2005,2005,G,5-9,165,October 5 1980,Brigham Young University Hawaii
Chris Taft,2006,2006,F,6-10,260,March 10 1985,University of Pittsburgh
Sid Tanenbaum,1948,1949,G,6-0,160,October 8 1925,New York University
Dragan Tarlac,2001,2001,C,6-10,260,May 9 1973,
Roy Tarpley,1987,1995,C-F,6-11,230,November 28 1964,University of Michigan
Levern Tart,1968,1971,G-F,6-2,195,June 1 1942,Bradley University
Earl Tatum,1977,1980,G-F,6-5,185,July 26 1953,Marquette University
Walter Tavares,2016,2016,C,7-3,260,March 22 1992,
Anthony Taylor,1989,1989,G,6-4,175,November 30 1965,University of Oregon
Brian Taylor,1973,1982,G,6-2,185,June 9 1951,Princeton University
Donell Taylor,2006,2007,G,6-6,180,July 26 1982,University of Alabama at Birmingham
Fatty Taylor,1970,1977,G,6-0,175,March 13 1946,La Salle University
Fred Taylor,1971,1972,G-F,6-5,180,February 5 1948,University of Texas-Pan American
Jay Taylor,1990,1990,G,6-3,190,October 3 1967,Eastern Illinois University
Jeff Taylor,1983,1987,G,6-4,175,January 1 1960,Texas Tech University
Jeffery Taylor,2013,2015,F,6-7,225,May 23 1989,Vanderbilt University
Jermaine Taylor,2010,2011,G,6-4,210,December 8 1986,University of Central Florida
Johnny Taylor,1998,2000,F,6-9,220,June 4 1974,University of Tennessee at Chattanooga
Leonard Taylor,1990,1990,F,6-8,220,May 2 1966,University of California
Maurice Taylor,1998,2007,F,6-9,260,October 30 1976,University of Michigan
Mike Taylor,2009,2009,G,6-2,165,January 21 1986,Iowa State University
Oliver Taylor,1971,1974,G-F,6-2,194,March 7 1947,University of Houston
Ronald Taylor,1970,1972,C,7-1,265,November 21 1947,University of Southern California
Tyshawn Taylor,2013,2014,G,6-3,185,April 12 1990,University of Kansas
Vince Taylor,1983,1983,G-F,6-5,180,September 11 1960,Duke University
Terry Teagle,1983,1993,F-G,6-5,195,April 10 1960,Baylor University
Jeff Teague,2010,2016,G,6-2,186,June 10 1988,Wake Forest University
Marquis Teague,2013,2014,G,6-2,189,February 28 1993,University of Kentucky
Mirza Teletovic,2013,2016,F,6-9,242,September 18 1985,
Sebastian Telfair,2005,2015,G,6-0,165,June 9 1985,
Collis Temple,1975,1975,F,6-8,220,November 8 1952,Louisiana State University
