<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Mike D'Antoni,1974,1977,G,6-3,185,May 8 1951,Marshall University
Mike Dabich,1968,1968,C,7-0,242,December 27 1942,New Mexico State University
Ed Dahler,1952,1952,F,6-5,190,January 31 1926,Duquesne University
Quintin Dailey,1983,1992,G,6-3,180,January 22 1961,University of San Francisco
Samuel Dalembert,2002,2015,C,6-11,255,May 10 1981,Seton Hall University
Howie Dallmar,1947,1949,F,6-4,200,May 24 1922,Stanford University
Erick Dampier,1997,2012,C,6-11,265,July 14 1975,Mississippi State University
Louie Dampier,1968,1979,G,6-0,170,November 20 1944,University of Kentucky
Bob Dandridge,1970,1982,F-G,6-6,195,November 15 1947,Norfolk State University
Antonio Daniels,1998,2011,G,6-4,195,March 19 1975,Bowling Green State University
Erik Daniels,2005,2005,F,6-8,214,April 1 1982,University of Kentucky
Lloyd Daniels,1993,1998,G,6-7,205,September 4 1967,Mount San Antonio College
Marquis Daniels,2004,2013,G-F,6-6,200,January 7 1981,Auburn University
Mel Daniels*,1968,1977,C,6-9,220,July 20 1944,University of New Mexico
Troy Daniels,2014,2016,G,6-4,205,July 15 1991,Virginia Commonwealth University
Sasha Danilovic,1996,1997,G,6-5,200,February 26 1970,
Adrian Dantley*,1977,1991,F-G,6-5,208,February 28 1956,University of Notre Dame
Pete Darcey,1953,1953,C,6-7,217,March 3 1930,Oklahoma State University
Jimmy Darden,1950,1950,G,6-1,170,June 19 1922,University of Denver
Ollie Darden,1968,1970,F-C,6-7,235,July 28 1944,University of Michigan
Yinka Dare,1995,1998,C,7-0,265,October 10 1972,George Washington University
Jesse Dark,1975,1975,G,6-5,210,September 2 1951,Virginia Commonwealth University
Rick Darnell,1976,1976,C-F,6-10,215,January 1 1953,San Jose State University
Jimmy Darrow,1962,1962,G,5-10,170,September 25 1937,Bowling Green State University
Luigi Datome,2014,2015,F,6-8,215,November 27 1987,
Brad Daugherty,1987,1994,C,7-0,245,October 19 1965,University of North Carolina
Mack Daughtry,1971,1971,G,6-3,175,,Albany State University
Kornel David,1999,2001,F,6-9,235,October 22 1971,
Jermareo Davidson,2008,2009,F,6-10,230,November 15 1984,University of Alabama
Bob Davies*,1949,1955,G-F,6-1,175,January 15 1920,Seton Hall University
Brandon Davies,2014,2015,F,6-10,240,July 25 1991,Brigham Young University
Anthony Davis,2013,2016,F-C,6-10,253,March 11 1993,University of Kentucky
Antonio Davis,1994,2006,F-C,6-9,215,October 31 1968,University of Texas at El Paso
Aubrey Davis,1947,1947,G-F,6-2,175,March 28 1921,Oklahoma Baptist University
Baron Davis,2000,2012,G,6-3,209,April 13 1979,University of California Los Angeles
Ben Davis,1997,2000,F,6-9,240,December 26 1972,University of Arizona
Bill Davis,1947,1947,F,6-3,215,October 3 1921,University of Notre Dame
Bob Davis,1973,1973,F,6-7,215,April 2 1950,Weber State University
Brad Davis,1978,1992,G,6-3,180,December 17 1955,University of Maryland
Brian Davis,1994,1994,F-G,6-7,200,June 21 1970,Duke University
Charles Davis,1982,1990,F,6-7,215,October 5 1958,Vanderbilt University
Charlie Davis,1972,1974,G,6-2,160,September 7 1949,Wake Forest University
Dale Davis,1992,2007,F,6-11,230,March 25 1969,Clemson University
Dwight Davis,1973,1977,F,6-8,220,October 28 1949,University of Houston
Ed Davis,2011,2016,F,6-10,240,June 5 1989,University of North Carolina
Emanual Davis,1997,2003,G,6-4,195,August 27 1968,Delaware State University
Glen Davis,2008,2015,F,6-9,289,January 1 1986,Louisiana State University
Harry Davis,1979,1980,F,6-7,220,January 27 1956,Florida State University
Hubert Davis,1993,2004,G,6-5,183,May 17 1970,University of North Carolina
Jim Davis,1968,1975,C-F,6-9,225,December 18 1941,University of Colorado
Johnny Davis,1977,1986,G,6-2,170,October 21 1955,University of Dayton
Josh Davis,2004,2012,F,6-8,235,August 10 1980,University of Wyoming
Lee Davis,1969,1976,C-F,6-8,235,October 11 1945,North Carolina Central University
Mark Davis,1989,1989,F-G,6-6,195,June 8 1963,Old Dominion University
Mark Davis,1996,2000,G-F,6-7,210,April 26 1973,Texas Tech University
Mel Davis,1974,1977,F,6-6,220,November 9 1950,St. John's University
Mickey Davis,1972,1977,F-G,6-7,195,June 16 1950,Duquesne University
Mike Davis,1970,1973,G,6-3,185,July 26 1946,Virginia Union University
Mike Davis,1983,1983,F,6-10,230,August 2 1956,University of Maryland
Monti Davis,1981,1981,F,6-7,205,July 26 1958,Tennessee State University
Paul Davis,2007,2010,C,6-11,270,July 21 1984,Michigan State University
