<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Mike Macaluso,1974,1974,F,6-5,210,July 20 1951,Canisius College
Ed Macauley*,1950,1959,C-F,6-8,185,March 22 1928,Saint Louis University
Todd MacCulloch,2000,2003,C,7-0,280,January 27 1976,University of Washington
Ronnie MacGilvray,1955,1955,G,6-2,185,July 20 1930,St. John's University
Scott Machado,2013,2013,G,6-1,205,June 8 1990,Iona College
Arvydas Macijauskas,2006,2006,G,6-4,214,January 19 1980,
Ollie Mack,1980,1982,G,6-3,185,June 6 1957,East Carolina University
Sam Mack,1993,2002,F-G,6-7,220,May 26 1970,University of Houston
Shelvin Mack,2012,2016,G,6-3,203,April 22 1990,Butler University
Malcolm Mackey,1994,1994,F-C,6-9,248,July 11 1970,Georgia Institute of Technology
Rudy Macklin,1982,1984,F-G,6-7,205,February 19 1958,Louisiana State University
Vernon Macklin,2012,2012,F,6-10,227,September 20 1986,University of Florida
Johnny Macknowski,1950,1951,G-F,6-0,180,January 7 1923,Seton Hall University
Don MacLean,1993,2001,F,6-10,235,January 16 1970,University of California Los Angeles
Mark Macon,1992,1999,G,6-4,185,April 14 1969,Temple University
Kyle Macy,1981,1987,G,6-3,175,April 9 1957,University of Kentucky
Jack Maddox,1949,1949,F-G,6-3,185,December 10 1919,West Texas A&amp;M University
Tito Maddox,2003,2003,G,6-4,190,June 7 1981,California State University Fresno
Gerald Madkins,1994,1998,G,6-4,200,April 18 1969,University of California Los Angeles
Mark Madsen,2001,2009,F,6-9,240,January 28 1976,Stanford University
Norm Mager,1951,1951,F,6-5,185,March 23 1926,City College of New York
Corey Maggette,2000,2013,F,6-6,218,November 12 1979,Duke University
Dave Magley,1983,1983,F,6-8,202,November 24 1959,University of Kansas
Jamaal Magloire,2001,2012,C,6-11,259,May 21 1978,University of Kentucky
Randolph Mahaffey,1968,1971,F,6-7,210,September 28 1945,Clemson University
Ian Mahinmi,2008,2016,C,6-11,250,November 5 1986,
John Mahnken,1947,1953,C,6-8,220,June 16 1922,Georgetown University
Brian Mahoney,1973,1973,G,6-3,175,December 17 1948,Manhattan College
Mo Mahoney,1953,1954,F,6-2,205,November 20 1927,Brown University
Rick Mahorn,1981,1999,C-F,6-10,240,September 21 1958,Hampton University
Dan Majerle,1989,2002,G-F,6-6,215,September 9 1965,Central Michigan University
Renaldo Major,2007,2007,F,6-7,200,May 7 1982,California State University Fresno
Lionel Malamed,1949,1949,G,5-9,150,November 15 1924,City College of New York
Jeff Malone,1984,1996,G,6-4,205,June 28 1961,Mississippi State University
Karl Malone*,1986,2004,F,6-9,250,July 24 1963,Louisiana Tech University
Moses Malone*,1975,1995,C-F,6-10,215,March 23 1955,
Matt Maloney,1997,2003,G,6-3,192,December 6 1971,University of Pennsylvania
Steve Malovic,1980,1980,F,6-10,230,July 21 1956,San Diego State University
Mike Maloy,1971,1973,F,6-7,215,May 10 1949,Davidson College
Ted Manakas,1974,1974,G,6-2,180,February 22 1951,Princeton University
John Mandic,1949,1950,F-C,6-4,205,October 3 1919,Oregon State University
Frank Mangiapane,1947,1947,G,5-10,195,August 5 1925,New York University
Danny Manning,1989,2003,F-C,6-10,230,May 17 1966,University of Kansas
Ed Manning,1968,1976,F,6-7,210,January 2 1944,Jackson State University
Guy Manning,1968,1969,F,6-6,195,February 4 1944,Prairie View A&amp;M University
Rich Manning,1996,1997,C,6-11,253,June 23 1970,University of Washington
Pace Mannion,1984,1989,G,6-7,190,September 22 1960,University of Utah
Nick Mantis,1960,1963,G,6-3,190,December 7 1935,Northwestern University
Pete Maravich*,1971,1980,G,6-5,197,June 22 1947,Louisiana State University
Press Maravich,1947,1947,G,6-0,185,August 20 1920,Davis &amp; Elkins College
Devyn Marble,2015,2016,G-F,6-6,200,September 21 1992,University of Iowa
Roy Marble,1990,1994,G-F,6-6,190,December 13 1966,University of Iowa
Stephon Marbury,1997,2009,G,6-2,180,February 20 1977,Georgia Institute of Technology
Sarunas Marciulionis*,1990,1997,G,6-5,200,June 13 1964,
Saul Mariaschin,1948,1948,G,5-11,165,September 1 1924,Harvard University
Jack Marin,1967,1977,F-G,6-7,200,October 12 1944,Duke University
Shawn Marion,2000,2015,F,6-7,220,May 7 1978,University of Nevada Las Vegas
Boban Marjanovic,2016,2016,C,7-3,290,August 15 1988,
Damir Markota,2007,2007,C,6-10,225,December 26 1985,
Sean Marks,1999,2011,F-C,6-10,250,August 23 1975,University of California
Harvey Marlatt,1971,1973,G,6-3,185,August 26 1948,Eastern Michigan University
Jim Marsh,1972,1972,F,6-7,215,April 26 1946,University of Southern California
Ricky Marsh,1978,1978,G,6-3,200,March 10 1954,Manhattan College
Donny Marshall,1996,2003,F,6-7,230,July 17 1972,University of Connecticut
Donyell Marshall,1995,2009,F,6-9,218,May 18 1973,University of Connecticut
Kendall Marshall,2013,2015,G,6-4,200,August 19 1991,University of North Carolina
Rawle Marshall,2006,2007,G-F,6-9,190,February 20 1982,Oakland University
Tom Marshall,1955,1959,F-G,6-4,215,January 6 1931,Western Kentucky University
Vester Marshall,1974,1974,F,6-7,200,December 22 1948,University of Oklahoma
Bill Martin,1986,1988,F,6-7,205,August 16 1962,Georgetown University
Bob Martin,1994,1995,C,7-0,250,October 7 1969,University of Minnesota
Brian Martin,1986,1986,F,6-9,212,August 18 1962,University of Kansas
Cartier Martin,2009,2015,F,6-7,220,November 20 1984,Kansas State University
Cuonzo Martin,1996,1997,G-F,6-5,213,September 23 1971,Purdue University
Darrick Martin,1995,2008,G,5-11,170,March 6 1971,University of California Los Angeles
Dino Martin,1947,1948,G,5-8,160,May 25 1920,Georgetown University
Don Martin,1947,1949,C-F,6-7,210,February 7 1920,Central Missouri State University
Fernando Martin,1987,1987,C,6-9,220,March 25 1962,
Jeff Martin,1990,1991,G,6-5,195,January 14 1967,Murray State University
Kenyon Martin,2001,2015,F,6-9,234,December 30 1977,University of Cincinnati
Kevin Martin,2005,2016,G,6-7,199,February 1 1983,Western Carolina University
LaRue Martin,1973,1976,C,6-11,208,March 30 1950,Loyola University of Chicago
Maurice Martin,1987,1988,F-G,6-6,200,July 2 1964,Saint Joseph's University
Phil Martin,1955,1955,G,6-3,190,April 2 1928,University of Toledo
Slater Martin*,1950,1960,G,5-10,170,October 22 1925,University of Texas at Austin
Whitey Martin,1962,1962,G,6-2,185,April 11 1939,St. Bonaventure University
Jamal Mashburn,1994,2004,F,6-8,240,November 29 1972,University of Kentucky
Al Masino,1953,1954,G,5-10,174,February 5 1928,Canisius College
Anthony Mason,1990,2003,F,6-7,250,December 14 1966,Tennessee State University
Desmond Mason,2001,2010,F,6-7,224,October 11 1977,Oklahoma State University
Roger Mason,2003,2014,G,6-5,200,September 10 1980,University of Virginia
Tony Massenburg,1991,2005,F,6-9,220,July 31 1967,University of Maryland
Eddie Mast,1971,1973,F-C,6-9,220,October 3 1948,Temple University
Johnny Mathis,1968,1968,F,6-6,220,July 14 1943,Savannah State University
Wes Matthews,1981,1990,G,6-1,170,August 24 1959,University of Wisconsin
Wesley Matthews,2010,2016,G,6-5,220,October 14 1986,Marquette University
Ariel Maughan,1947,1951,F,6-4,190,April 26 1923,Utah State University
Marlon Maxey,1993,1994,F,6-8,250,February 19 1969,University of Texas at El Paso
Jason Maxiell,2006,2015,F,6-7,260,February 18 1983,University of Cincinnati
Cedric Maxwell,1978,1988,F,6-8,205,November 21 1955,University of North Carolina at Charlotte
Vernon Maxwell,1989,2001,G,6-4,180,September 12 1965,University of Florida
Don May,1969,1975,F,6-4,200,January 3 1946,University of Dayton
Scott May,1977,1983,F,6-7,215,March 19 1954,Indiana University
Sean May,2006,2010,F,6-9,266,April 4 1984,University of North Carolina
Lee Mayberry,1993,1999,G,6-1,172,June 12 1970,University of Arkansas
Clyde Mayes,1976,1977,F,6-8,225,March 17 1953,Furman University
Tharon Mayes,1992,1992,G,6-3,175,September 9 1968,Florida State University
Bill Mayfield,1981,1981,F,6-7,205,October 17 1957,University of Iowa
Ken Mayfield,1976,1976,G,6-2,185,May 11 1948,Tuskegee University
Eric Maynor,2010,2014,G,6-3,175,June 11 1987,Virginia Commonwealth University
O.J. Mayo,2009,2016,G,6-5,210,November 5 1987,University of Southern California
Travis Mays,1991,1993,G,6-2,190,June 19 1968,University of Texas at Austin
Matt Mazza,1950,1950,F,6-3,210,September 23 1923,Michigan State University
Luc Mbah a Moute,2009,2016,F,6-8,230,September 9 1986,University of California Los Angeles
Bob McAdoo*,1973,1986,C-F,6-9,210,September 25 1951,University of North Carolina
James Michael McAdoo,2015,2016,F,6-9,230,January 4 1993,University of North Carolina
Ken McBride,1955,1955,G-F,6-3,190,,University of Maryland Eastern Shore
Ray McCallum,2014,2016,G,6-3,190,June 12 1991,University of Detroit Mercy
Bob McCann,1990,1998,F,6-6,244,April 22 1964,Morehead State University
Brendan McCann,1958,1960,G,6-2,178,July 5 1935,St. Bonaventure University
Mel McCants,1990,1990,F,6-8,240,August 19 1967,Purdue University
Rashad McCants,2006,2009,G,6-4,207,September 25 1984,University of North Carolina
Mike McCarron,1947,1950,G,5-11,180,March 2 1922,Seton Hall University
Andre McCarter,1977,1981,G,6-3,190,August 25 1953,University of California Los Angeles
Willie McCarter,1970,1972,G,6-3,175,July 26 1946,Drake University
Johnny McCarthy,1957,1964,G,6-1,185,April 25 1934,Canisius College
Howie McCarty,1947,1947,F-G,6-2,190,,Wayne State University
Kelly McCarty,1999,1999,G-F,6-7,200,August 24 1975,University of Southern Mississippi
