<!-- ALREADYCSV -->
Player,From,To,Pos,Ht,Wt,Birth Date,College
Bill Gabor,1950,1955,G-F,5-11,170,May 13 1922,Syracuse University
Dan Gadzuric,2003,2012,C,6-11,240,February 2 1978,University of California Los Angeles
Deng Gai,2006,2006,F,6-9,250,March 22 1982,Fairfield University
Elmer Gainer,1948,1950,F-C,6-6,195,November 22 1918,DePaul University
Bill Gaines,1969,1969,G,6-4,185,March 10 1946,East Texas State University
Corey Gaines,1989,1995,G,6-3,195,June 1 1965,Loyola Marymount University
David Gaines,1968,1968,G,6-1,170,February 27 1942,LeMoyne-Owen College
Reece Gaines,2004,2006,G,6-6,205,January 7 1981,University of Louisville
Sundiata Gaines,2010,2012,G,6-1,185,April 18 1986,University of Georgia
Mike Gale,1972,1982,G,6-4,185,July 18 1950,Elizabeth City State University
Chad Gallagher,1994,1994,C,6-10,255,May 30 1969,Creighton University
Harry Gallatin*,1949,1958,F-C,6-6,210,April 26 1927,Truman State University
Danilo Gallinari,2009,2016,F,6-10,225,August 8 1988,
Langston Galloway,2015,2016,G,6-2,200,December 9 1991,Saint Joseph's University
Dave Gambee,1959,1970,F,6-6,215,April 16 1937,Oregon State University
Kevin Gamble,1988,1997,F-G,6-5,210,November 13 1965,University of Iowa
Bob Gantt,1947,1947,F-C,6-4,205,June 22 1922,Duke University
Jorge Garbajosa,2007,2008,F,6-9,245,December 19 1977,
Ruben Garces,2001,2001,F,6-9,245,October 17 1973,Providence College
Alex Garcia,2004,2005,G,6-3,220,March 4 1980,
Francisco Garcia,2006,2015,F-G,6-7,195,December 31 1981,University of Louisville
Chuck Gardner,1968,1968,F,6-8,205,September 30 1944,University of Colorado
Earl Gardner,1949,1949,F,6-3,195,September 18 1923,DePauw University
Kenneth Gardner,1976,1976,F,6-5,205,September 27 1949,University of Utah
Thomas Gardner,2008,2009,G,6-5,225,February 8 1985,University of Missouri
Vern Gardner,1950,1952,F-C,6-5,200,May 14 1925,University of Utah
Jack Garfinkel,1947,1949,G,6-0,190,June 13 1918,St. John's University
Gary Garland,1980,1980,G,6-4,180,October 12 1957,DePaul University
Winston Garland,1988,1995,G,6-2,170,December 19 1964,Missouri State University
Dick Garmaker,1956,1961,G-F,6-3,200,October 29 1932,University of Minnesota
Bill Garner,1968,1968,C,6-10,220,June 17 1940,University of Portland
Chris Garner,1998,2001,G,5-10,156,February 2 1975,University of Memphis
Bill Garnett,1983,1986,F,6-9,225,April 22 1960,University of Wyoming
Kevin Garnett,1996,2016,F,6-11,240,May 19 1976,
Marlon Garnett,1999,1999,G,6-2,186,July 3 1975,Santa Clara University
Calvin Garrett,1981,1984,F,6-7,190,July 11 1956,Oral Roberts University
Dean Garrett,1997,2002,C,6-10,225,November 27 1966,Indiana University
Diante Garrett,2013,2014,G,6-4,190,November 3 1988,Iowa State University
Dick Garrett,1970,1974,G,6-3,185,January 31 1947,Southern Illinois University
Rowland Garrett,1973,1977,F,6-6,210,July 16 1950,Florida State University
Tom Garrick,1989,1992,G,6-2,185,July 7 1966,University of Rhode Island
John Garris,1984,1984,F,6-8,205,June 6 1959,Boston College
Kiwane Garris,1998,2000,G,6-2,183,September 24 1974,University of Illinois at Urbana-Champaign
Pat Garrity,1999,2008,F,6-9,238,August 23 1976,University of Notre Dame
Jim Garvin,1974,1974,F,6-7,200,February 5 1950,Boston University
Marc Gasol,2009,2016,C,7-1,255,January 29 1985,
Pau Gasol,2002,2016,F-C,7-0,250,July 6 1980,
Frank Gates,1950,1950,G,6-0,160,April 12 1920,Sam Houston State University
Chris Gatling,1992,2002,F-C,6-10,220,September 3 1967,Old Dominion University
Kenny Gattison,1987,1996,F-C,6-8,225,May 23 1964,Old Dominion University
Rudy Gay,2007,2016,F,6-8,230,August 17 1986,University of Connecticut
Ed Gayda,1951,1951,G-F,6-4,210,May 11 1927,Washington State University
Andrew Gaze,1994,1999,G,6-7,205,July 24 1965,Seton Hall University
Reggie Geary,1997,1998,G,6-2,187,August 31 1973,University of Arizona
Alonzo Gee,2010,2016,G,6-6,225,May 29 1987,University of Alabama
Matt Geiger,1993,2002,C,7-0,243,September 10 1969,Georgia Institute of Technology
Mickael Gelabale,2007,2013,F,6-7,215,May 22 1983,
Devean George,2000,2010,G-F,6-8,220,August 29 1977,Augsburg College
Jack George,1954,1961,G,6-2,190,November 13 1928,La Salle University
Paul George,2011,2016,F,6-9,220,May 2 1990,California State University Fresno
Tate George,1991,1995,G,6-5,190,May 29 1968,University of Connecticut
Gus Gerard,1975,1981,F-G,6-8,200,July 27 1953,University of Virginia
Derrick Gervin,1990,1991,F,6-8,200,March 28 1963,University of Texas at San Antonio
George Gervin*,1973,1986,G-F,6-7,180,April 27 1952,Eastern Michigan University
Gorham Getchell,1947,1947,C,6-4,205,August 14 1920,Temple University
John Gianelli,1973,1980,C-F,6-10,220,June 10 1950,University of the Pacific
Dick Gibbs,1972,1976,F-G,6-5,210,December 20 1948,University of Texas at El Paso
Daniel Gibson,2007,2013,G,6-2,190,February 27 1986,University of Texas at Austin
Dee Gibson,1950,1950,F-G,5-11,175,August 25 1923,Western Kentucky University
Hoot Gibson,1950,1950,F-C,6-5,198,December 5 1921,Creighton University
Mel Gibson,1964,1964,G,6-3,180,December 30 1940,Western Carolina University
Mike Gibson,1984,1986,F,6-10,205,October 27 1960,University of South Carolina Upstate
Taj Gibson,2010,2016,F,6-9,225,June 24 1985,University of Southern California
J.R. Giddens,2009,2010,G,6-5,215,February 13 1985,University of New Mexico
Trey Gilder,2010,2010,F,6-9,185,January 24 1985,Northwestern State University
Eddie Gill,2001,2009,G,6-0,190,August 16 1978,Weber State University
Kendall Gill,1991,2005,G,6-5,195,May 25 1968,University of Illinois at Urbana-Champaign
Ben Gillery,1989,1989,C,7-0,235,September 19 1965,Georgetown University
Jack Gillespie,1970,1970,F,6-6,215,October 1 1947,Montana State University
Gene Gillette,1947,1947,F,6-2,205,,Saint Mary's College of California
Armen Gilliam,1988,2000,F-C,6-9,230,May 28 1964,University of Nevada Las Vegas
Herm Gilliam,1970,1977,G-F,6-3,190,May 5 1946,Purdue University
Artis Gilmore*,1972,1988,C,7-2,240,September 21 1949,Jacksonville University
Walt Gilmore,1971,1971,F,6-6,225,February 27 1947,Fort Valley State University
Chuck Gilmur,1947,1951,F-C,6-4,225,August 13 1922,University of Washington
Manu Ginobili,2003,2016,G,6-6,205,July 28 1977,
Gordan Giricek,2003,2008,G-F,6-6,210,June 20 1977,
Jack Givens,1979,1980,F-G,6-5,205,September 21 1956,University of Kentucky
Mickell Gladness,2012,2012,C,6-11,220,July 26 1986,Alabama A&amp;M University
