Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Jeremy Lamb,2013,2016,G-F,6-5,185,May 30 1992,University of Connecticut,lambje01
Carl Landry,2008,2015,F,6-9,248,September 19 1983,Purdue University,landrca01
Shane Larkin,2014,2016,G,5-11,175,October 2 1992,University of Miami,larkish01
Joffrey Lauvergne,2015,2016,F,6-11,220,September 30 1991,,lauvejo01
Zach LaVine,2015,2016,G,6-5,189,March 10 1995,University of California Los Angeles,lavinza01
Ty Lawson,2010,2016,G,5-11,195,November 3 1987,University of North Carolina,lawsoty01
Ricky Ledo,2014,2015,G,6-7,195,September 10 1992,,ledori01
Courtney Lee,2009,2016,G,6-5,200,October 3 1985,Western Kentucky University,leeco01
David Lee,2006,2016,F,6-9,245,April 29 1983,University of Florida,leeda02
Malcolm Lee,2012,2015,G,6-5,200,May 22 1990,University of California Los Angeles,leema01
Alex Len,2014,2016,C,7-1,260,June 16 1993,University of Maryland,lenal01
Kawhi Leonard,2012,2016,F,6-7,230,June 29 1991,San Diego State University,leonaka01
Meyers Leonard,2013,2016,C,7-1,245,February 27 1992,University of Illinois at Urbana-Champaign,leoname01
Jon Leuer,2012,2016,F,6-10,228,May 14 1989,University of Wisconsin,leuerjo01
Damian Lillard,2013,2016,G,6-3,195,July 15 1990,Weber State University,lillada01
Jeremy Lin,2011,2016,G,6-3,200,August 23 1988,Harvard University,linje01
Shaun Livingston,2005,2016,G,6-7,182,September 11 1985,,livinsh01
Brook Lopez,2009,2016,C,7-0,275,April 1 1988,Stanford University,lopezbr01
Robin Lopez,2009,2016,C,7-0,255,April 1 1988,Stanford University,lopezro01
Kevin Love,2009,2016,F,6-10,251,September 7 1988,University of California Los Angeles,loveke01
Kyle Lowry,2007,2016,G,6-0,205,March 25 1986,Villanova University,lowryky01
Kalin Lucas,2015,2015,G,6-1,195,May 24 1989,Michigan State University,lucaska01
John Lucas III,2006,2015,G,5-11,165,November 21 1982,Oklahoma State University,lucasjo02
Trey Lyles,2016,2016,F,6-10,234,November 5 1995,University of Kentucky,lylestr01
