Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Bruno Caboclo,2015,2015,F,6-9,205,September 21 1995,,cabocbr01
Nick Calathes,2014,2015,G,6-6,213,February 7 1989,University of Florida,calatni01
Jose Calderon,2006,2016,G,6-3,200,September 28 1981,,caldejo01
Kentavious Caldwell-Pope,2014,2016,G,6-5,205,February 18 1993,University of Georgia,caldwke01
Isaiah Canaan,2014,2016,G,6-0,201,May 21 1991,Murray State University,canaais01
DeMarre Carroll,2010,2016,F,6-8,212,July 27 1986,University of Missouri,carrode01
Vince Carter,1999,2016,G-F,6-6,220,January 26 1977,University of North Carolina,cartevi01
Michael Carter-Williams,2014,2016,G,6-6,190,October 10 1991,Syracuse University,cartemi01
Omri Casspi,2010,2016,F,6-9,225,June 22 1988,,casspom01
Willie Cauley-Stein,2016,2016,F-C,7-0,240,August 18 1993,University of Kentucky,caulewi01
Mario Chalmers,2009,2016,G,6-2,190,May 19 1986,University of Kansas,chalmma01
Tyson Chandler,2002,2016,C,7-1,240,October 2 1982,,chandty01
Wilson Chandler,2008,2015,F,6-8,225,May 10 1987,DePaul University,chandwi01
Will Cherry,2015,2015,G,6-0,185,February 8 1991,University of Montana,cherrwi01
Patrick Christopher,2015,2015,G-F,6-5,209,June 3 1988,University of California,chrispa01
Earl Clark,2010,2015,F,6-10,225,January 17 1988,University of Louisville,clarkea01
Ian Clark,2014,2016,G,6-3,175,March 7 1991,Belmont University,clarkia01
Jordan Clarkson,2015,2016,G,6-5,185,June 7 1992,University of Missouri,clarkjo01
Victor Claver,2013,2015,F,6-9,224,August 30 1988,,clavevi01
Norris Cole,2012,2015,G,6-2,175,October 13 1988,Cleveland State University,coleno01
Darren Collison,2010,2016,G,6-0,175,August 23 1987,University of California Los Angeles,collida01
Nick Collison,2005,2016,F,6-10,255,October 26 1980,University of Kansas,collini01
Mike Conley,2008,2016,G,6-1,175,October 11 1987,Ohio State University,conlemi01
Pat Connaughton,2016,2016,G,6-5,206,January 6 1993,University of Notre Dame,connapa01
Jack Cooley,2015,2015,F,6-9,260,April 4 1991,University of Notre Dame,cooleja01
Chris Copeland,2013,2016,F,6-9,239,March 17 1984,University of Colorado,copelch01
Bryce Cotton,2015,2015,G,6-1,165,August 11 1992,Providence College,cottobr01
DeMarcus Cousins,2011,2016,C-F,6-11,270,August 13 1990,University of Kentucky,couside01
Robert Covington,2014,2016,F,6-9,215,December 14 1990,Tennessee State University,covinro01
Allen Crabbe,2014,2016,G-F,6-6,210,April 9 1992,University of California,crabbal01
Jamal Crawford,2001,2016,G,6-5,195,March 20 1980,University of Michigan,crawfja01
Jae Crowder,2013,2016,F,6-6,235,July 6 1990,Marquette University,crowdja01
Dante Cunningham,2010,2016,F,6-8,230,April 22 1987,Villanova University,cunnida01
Jared Cunningham,2013,2016,G,6-4,195,May 22 1991,Oregon State University,cunnija01
Seth Curry,2014,2016,G,6-2,185,August 23 1990,Duke University,curryse01
Stephen Curry,2010,2016,G,6-3,185,March 14 1988,Davidson College,curryst01
