Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Kenneth Faried,2012,2016,F,6-8,228,November 19 1989,Morehead State University,farieke01
Jordan Farmar,2007,2015,G,6-2,180,November 30 1986,University of California Los Angeles,farmajo01
Derrick Favors,2011,2016,F-C,6-10,265,July 15 1991,Georgia Institute of Technology,favorde01
Raymond Felton,2006,2016,G,6-1,205,June 26 1984,University of North Carolina,feltora01
Landry Fields,2011,2015,F,6-7,210,June 27 1988,Stanford University,fieldla01
Evan Fournier,2013,2016,G-F,6-7,205,October 29 1992,,fournev01
Randy Foye,2007,2016,G,6-4,213,September 24 1983,Villanova University,foyera01
Jamaal Franklin,2014,2015,G,6-5,191,July 21 1991,San Diego State University,frankja01
Tim Frazier,2015,2016,G,6-1,170,November 1 1990,Pennsylvania State University,fraziti01
Jimmer Fredette,2012,2015,G,6-2,195,February 25 1989,Brigham Young University,fredeji01
Joel Freeland,2013,2015,F-C,6-10,250,February 7 1987,,freeljo01
Channing Frye,2006,2016,F-C,6-11,255,May 17 1983,University of Arizona,fryech01
