Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Jordan Hamilton,2012,2015,G-F,6-7,220,October 6 1990,University of Texas at Austin,hamiljo02
Justin Hamilton,2014,2015,C,7-0,260,April 1 1990,Louisiana State University,hamilju01
Tyler Hansbrough,2010,2016,F,6-9,250,November 3 1985,University of North Carolina,hansbty01
Tim Hardaway,2014,2015,G,6-6,205,March 16 1992,University of Michigan,hardati02
James Harden,2010,2016,G,6-5,220,August 26 1989,Arizona State University,hardeja01
Maurice Harkless,2013,2016,F-G,6-9,215,May 11 1993,St. John's University,harklma01
Montrezl Harrell,2016,2016,F,6-8,240,January 26 1994,University of Louisville,harremo01
Devin Harris,2005,2016,G,6-3,192,February 27 1983,University of Wisconsin,harride01
Gary Harris,2015,2016,G,6-4,210,September 14 1994,Michigan State University,harriga01
Joe Harris,2015,2016,G,6-6,219,September 7 1991,University of Virginia,harrijo01
Tobias Harris,2012,2016,F,6-9,235,July 15 1992,University of Tennessee,harrito02
Udonis Haslem,2004,2016,F,6-8,235,June 9 1980,University of Florida,hasleud01
Spencer Hawes,2008,2016,C-F,7-1,245,April 28 1988,University of Washington,hawessp01
Chuck Hayes,2006,2016,F-C,6-6,240,June 11 1983,University of Kentucky,hayesch01
Gordon Hayward,2011,2016,F-G,6-8,226,March 23 1990,Butler University,haywago01
Brendan Haywood,2002,2015,C,7-0,268,November 27 1979,University of North Carolina,haywobr01
Gerald Henderson,2010,2015,G,6-5,215,December 9 1987,Duke University,hendege02
Xavier Henry,2011,2015,G,6-6,220,March 15 1991,University of Kansas,henryxa01
John Henson,2013,2016,F,6-11,229,December 28 1990,University of North Carolina,hensojo01
Mario Hezonja,2016,2016,F-G,6-8,215,February 25 1995,,hezonma01
Roy Hibbert,2009,2016,C,7-2,270,December 11 1986,Georgetown University,hibbero01
Nene Hilario,2003,2016,F-C,6-11,250,September 13 1982,,hilarne01
George Hill,2009,2016,G,6-3,188,May 4 1986,Indiana University-Purdue University Indianapolis,hillge01
Jordan Hill,2010,2016,C-F,6-10,235,July 27 1987,University of Arizona,hilljo01
Solomon Hill,2014,2016,F,6-7,225,March 18 1991,University of Arizona,hillso01
Kirk Hinrich,2004,2016,G,6-4,190,January 2 1981,University of Kansas,hinriki01
Jrue Holiday,2010,2016,G,6-4,205,June 12 1990,University of California Los Angeles,holidjr01
Justin Holiday,2013,2016,G-F,6-6,185,April 5 1989,University of Washington,holidju01
Ryan Hollins,2007,2015,C,7-0,240,October 10 1984,University of California Los Angeles,holliry01
Rondae Hollis-Jefferson,2016,2016,F,6-7,220,January 3 1995,University of Arizona,holliro01
Richaun Holmes,2016,2016,F,6-10,245,October 15 1993,Bowling Green State University,holmeri01
Rodney Hood,2015,2016,G-F,6-8,206,October 20 1992,Duke University,hoodro01
Al Horford,2008,2016,F-C,6-10,245,June 3 1986,University of Florida,horfoal01
Dwight Howard,2005,2016,C-F,6-11,265,December 8 1985,,howardw01
Lester Hudson,2010,2015,G,6-3,190,August 7 1984,University of Tennessee at Martin,hudsole01
Marcelo Huertas,2016,2016,G,6-3,185,May 25 1983,,huertma01
Robbie Hummel,2014,2015,F,6-8,215,March 8 1989,Purdue University,hummero01
Kris Humphries,2005,2016,F,6-9,235,February 6 1985,University of Minnesota,humphkr01
