Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Robert Sacre,2013,2016,C,7-0,270,June 6 1989,Gonzaga University,sacrero01
John Salmons,2003,2015,G,6-7,210,December 12 1979,University of Miami,salmojo01
JaKarr Sampson,2015,2016,G-F,6-9,214,March 20 1993,St. John's University,sampsja02
Dennis Schroder,2014,2016,G,6-1,172,September 15 1993,,schrode01
Luis Scola,2008,2016,F,6-9,240,April 30 1980,,scolalu01
Mike Scott,2013,2016,F,6-8,237,July 16 1988,University of Virginia,scottmi01
Thabo Sefolosha,2007,2016,G-F,6-7,220,May 2 1984,,sefolth01
Kevin Seraphin,2011,2016,F,6-10,278,December 7 1989,,serapke01
Ramon Sessions,2008,2016,G,6-3,190,April 11 1986,University of Nevada Reno,sessira01
Iman Shumpert,2012,2015,G,6-5,220,June 26 1990,Georgia Institute of Technology,shumpim01
Alexey Shved,2013,2015,G,6-6,190,December 16 1988,,shvedal01
Jonathon Simmons,2016,2016,G-F,6-6,195,September 14 1989,University of Houston,simmojo02
Henry Sims,2013,2015,C,6-10,248,March 27 1990,Georgetown University,simshe01
Kyle Singler,2013,2016,F,6-8,228,May 4 1988,Duke University,singlky01
Donald Sloan,2012,2016,G,6-3,205,January 15 1988,Texas A&amp;M University,sloando01
Marcus Smart,2015,2016,G,6-4,220,March 6 1994,Oklahoma State University,smartma01
Greg Smith,2012,2015,C,6-10,250,January 8 1991,California State University Fresno,smithgr02
Ish Smith,2011,2016,G,6-0,175,July 5 1988,Wake Forest University,smithis01
Jason Smith,2008,2016,F-C,7-0,245,March 2 1986,Colorado State University,smithja02
Josh Smith,2005,2016,F,6-9,225,December 5 1985,,smithjo03
Russ Smith,2015,2016,G,6-0,165,April 19 1991,University of Louisville,smithru01
Tony Snell,2014,2016,G-F,6-7,200,November 10 1991,University of New Mexico,snellto01
Marreese Speights,2009,2016,C-F,6-10,255,August 4 1987,University of Florida,speigma01
Tiago Splitter,2011,2016,F-C,6-11,245,January 1 1985,,splitti01
Nik Stauskas,2015,2016,G,6-6,205,October 7 1993,University of Michigan,stausni01
Lance Stephenson,2011,2016,G-F,6-5,230,September 5 1990,University of Cincinnati,stephla01
Greg Stiemsma,2012,2015,C,6-11,260,September 26 1985,University of Wisconsin,stiemgr01
David Stockton,2015,2015,G,5-11,165,June 24 1991,Gonzaga University,stockda01
Jarnell Stokes,2015,2016,F-C,6-9,263,January 7 1994,University of Tennessee,stokeja01
Amar'e Stoudemire,2003,2016,F-C,6-10,245,November 16 1982,,stoudam01
Rodney Stuckey,2008,2016,G,6-5,205,April 21 1986,Eastern Washington University,stuckro01
Jared Sullinger,2013,2016,F,6-9,260,March 4 1992,Ohio State University,sullija01
