Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Danilo Gallinari,2009,2016,F,6-10,225,August 8 1988,,gallida01
Langston Galloway,2015,2016,G,6-2,200,December 9 1991,Saint Joseph's University,gallola01
Francisco Garcia,2006,2015,F-G,6-7,195,December 31 1981,University of Louisville,garcifr01
Kevin Garnett,1996,2016,F,6-11,240,May 19 1976,,garneke01
Marc Gasol,2009,2016,C,7-1,255,January 29 1985,,gasolma01
Pau Gasol,2002,2016,F-C,7-0,250,July 6 1980,,gasolpa01
Rudy Gay,2007,2016,F,6-8,230,August 17 1986,University of Connecticut,gayru01
Alonzo Gee,2010,2016,G,6-6,225,May 29 1987,University of Alabama,geeal01
Paul George,2011,2016,F,6-9,220,May 2 1990,California State University Fresno,georgpa01
Taj Gibson,2010,2016,F,6-9,225,June 24 1985,University of Southern California,gibsota01
Manu Ginobili,2003,2016,G,6-6,205,July 28 1977,,ginobma01
Rudy Gobert,2014,2016,C,7-1,245,June 26 1992,,goberru01
Drew Gooden,2003,2016,F,6-10,250,September 24 1981,University of Kansas,goodedr01
Archie Goodwin,2014,2016,G,6-5,200,August 17 1994,University of Kentucky,goodwar01
Aaron Gordon,2015,2016,F,6-9,220,September 16 1995,University of Arizona,gordoaa01
Ben Gordon,2005,2015,G,6-3,200,April 4 1983,University of Connecticut,gordobe01
Drew Gordon,2015,2015,F,6-9,245,July 12 1990,University of New Mexico,gordodr01
Eric Gordon,2009,2016,G,6-4,215,December 25 1988,Indiana University,gordoer01
Marcin Gortat,2008,2016,C-F,6-11,240,February 17 1984,,gortama01
Danny Granger,2006,2015,F,6-9,222,April 20 1983,University of New Mexico,grangda01
Jerami Grant,2015,2016,F,6-8,210,March 12 1994,Syracuse University,grantje01,grantje02
Jerami Grant,2015,2016,F,6-8,210,March 12 1994,Syracuse University,grantje01,grantje02
Jerian Grant,2016,2016,G,6-4,195,October 9 1992,University of Notre Dame,grantje01,grantje02
Jerian Grant,2016,2016,G,6-4,195,October 9 1992,University of Notre Dame,grantje01,grantje02
Danny Green,2010,2016,G-F,6-6,215,June 22 1987,University of North Carolina,greenda02
Draymond Green,2013,2016,F,6-7,230,March 4 1990,Michigan State University,greendr01
Erick Green,2015,2016,G,6-4,185,May 9 1991,Virginia Polytechnic Institute and State University,greener01
Gerald Green,2006,2016,G-F,6-7,205,January 26 1986,,greenge01
JaMychal Green,2015,2016,F,6-9,227,June 21 1990,University of Alabama,greenja01
Jeff Green,2008,2016,F,6-9,235,August 28 1986,Georgetown University,greenje02
Willie Green,2004,2015,G,6-4,200,July 28 1981,University of Detroit Mercy,greenwi01
Blake Griffin,2011,2016,F,6-10,251,March 16 1989,University of Oklahoma,griffbl01
Jorge Gutierrez,2014,2015,G,6-3,191,December 27 1988,University of California,gutiejo01
