Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Jarrett Jack,2006,2016,G,6-3,200,October 28 1983,Georgia Institute of Technology,jackja01
Reggie Jackson,2012,2016,G,6-3,208,April 16 1990,Boston College,jacksre01
Bernard James,2013,2015,C,6-10,240,February 7 1985,Florida State University,jamesbe01
LeBron James,2004,2016,F-G,6-8,250,December 30 1984,,jamesle01
Al Jefferson,2005,2016,C-F,6-10,289,January 4 1985,,jeffeal01
Cory Jefferson,2015,2016,F,6-9,218,December 26 1990,Baylor University,jeffeco01
Richard Jefferson,2002,2016,F,6-7,233,June 21 1980,University of Arizona,jefferi01
John Jenkins,2013,2016,G,6-4,215,March 6 1991,Vanderbilt University,jenkijo01
Brandon Jennings,2010,2015,G,6-1,169,September 23 1989,,jennibr01
Jonas Jerebko,2010,2016,F,6-10,231,March 2 1987,,jerebjo01
Grant Jerrett,2015,2015,F,6-10,235,July 8 1993,University of Arizona,jerregr01
Amir Johnson,2006,2016,F,6-9,240,May 1 1987,,johnsam01
Chris Johnson,2013,2016,F-G,6-6,206,April 29 1990,University of Dayton,johnsch03
Chris Johnson,2013,2016,F-G,6-6,206,April 29 1990,University of Dayton,johnsch03
James Johnson,2010,2016,F,6-9,250,February 20 1987,Wake Forest University,johnsja01
Joe Johnson,2002,2016,G-F,6-7,240,June 29 1981,University of Arkansas,johnsjo02
Nick Johnson,2015,2015,G,6-3,202,December 22 1992,University of Arizona,johnsni01
Stanley Johnson,2016,2016,F,6-7,245,May 29 1996,University of Arizona,johnsst04
Tyler Johnson,2015,2016,G,6-4,186,May 7 1992,California State University Fresno,johnsty01
Wesley Johnson,2011,2016,F-G,6-7,215,July 11 1987,Syracuse University,johnswe01
Nikola Jokic,2016,2016,C,6-10,250,February 19 1995,,jokicni01
Dahntay Jones,2004,2015,G-F,6-6,225,December 27 1980,Duke University,jonesda02
James Jones,2004,2016,F-G,6-8,218,October 4 1980,University of Miami,jonesja02
Perry Jones,2013,2015,F,6-11,235,September 24 1991,Baylor University,jonespe01
Terrence Jones,2013,2016,F,6-9,252,January 9 1992,University of Kentucky,joneste01
Tyus Jones,2016,2016,G,6-2,195,May 10 1996,Duke University,jonesty01
DeAndre Jordan,2009,2016,C,6-11,265,July 21 1988,Texas A&amp;M University,jordade01
Jerome Jordan,2012,2015,C,7-0,253,September 29 1986,University of Tulsa,jordaje01
Cory Joseph,2012,2016,G,6-3,190,August 20 1991,University of Texas at Austin,josepco01
