Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Dwyane Wade,2004,2016,G,6-4,220,January 17 1982,Marquette University,wadedw01
Dion Waiters,2013,2016,G,6-4,225,December 10 1991,Syracuse University,waitedi01
Kemba Walker,2012,2016,G,6-1,172,May 8 1990,University of Connecticut,walkeke02
John Wall,2011,2016,G,6-4,195,September 6 1990,University of Kentucky,walljo01
Gerald Wallace,2002,2015,F,6-7,215,July 23 1982,University of Alabama,wallage01
David Wear,2015,2015,F,6-10,230,September 21 1990,University of California Los Angeles,wearda01
Travis Wear,2015,2015,F,6-10,230,September 21 1990,University of California Los Angeles,weartr01
Martell Webster,2006,2015,G-F,6-7,230,December 4 1986,,webstma02
Sonny Weems,2009,2016,G-F,6-6,205,July 8 1986,University of Arkansas,weemsso01
David West,2004,2016,F,6-9,250,August 29 1980,Xavier University,westda01
Russell Westbrook,2009,2016,G,6-3,200,November 12 1988,University of California Los Angeles,westbru01
Hassan Whiteside,2011,2016,C,7-0,265,June 13 1989,Marshall University,whiteha01
Shayne Whittington,2015,2016,F-C,6-11,250,March 27 1991,Western Michigan University,whittsh01
Andrew Wiggins,2015,2016,F-G,6-8,199,February 23 1995,University of Kansas,wiggian01
Deron Williams,2006,2016,G,6-3,200,June 26 1984,University of Illinois at Urbana-Champaign,willide01
Deron Williams,2006,2016,G,6-3,200,June 26 1984,University of Illinois at Urbana-Champaign,willide01
Derrick Williams,2012,2016,F,6-8,240,May 25 1991,University of Arizona,willide02
Derrick Williams,2012,2016,F,6-8,240,May 25 1991,University of Arizona,willide02
Elliot Williams,2012,2015,G,6-5,190,June 20 1989,University of Memphis,williel01
Lou Williams,2006,2016,G,6-1,175,October 27 1986,,willilo02
Marvin Williams,2006,2016,F,6-9,237,June 19 1986,University of North Carolina,willima04
Marvin Williams,2006,2016,F,6-9,237,June 19 1986,University of North Carolina,willima04
Marvin Williams,2006,2016,F,6-9,237,June 19 1986,University of North Carolina,willima04
Reggie Williams,2010,2015,F,6-6,205,September 14 1986,Virginia Military Institute,willire02
Shawne Williams,2007,2015,F,6-9,225,February 16 1986,University of Memphis,willish03
Justise Winslow,2016,2016,F,6-7,225,March 26 1996,Duke University,winslju01
Jeff Withey,2014,2016,C,7-0,231,March 7 1990,University of Kansas,witheje01
Nate Wolters,2014,2015,G,6-4,190,May 15 1991,South Dakota State University,woltena01
Christian Wood,2016,2016,F,6-11,220,September 27 1995,University of Nevada Las Vegas,woodch01
Brandan Wright,2008,2016,F,6-10,210,October 5 1987,University of North Carolina,wrighbr03
Delon Wright,2016,2016,G,6-5,190,April 26 1992,University of Utah,wrighde01
Dorell Wright,2005,2015,G-F,6-7,200,December 2 1985,,wrighdo01
Tony Wroten,2013,2015,G,6-6,205,April 13 1993,University of Washington,wroteto01
