Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Walter Tavares,2016,2016,C,7-3,260,March 22 1992,,tavarwa01
Jeffery Taylor,2013,2015,F,6-7,225,May 23 1989,Vanderbilt University,tayloje02
Jeffery Taylor,2013,2015,F,6-7,225,May 23 1989,Vanderbilt University,tayloje02
Jeff Teague,2010,2016,G,6-2,186,June 10 1988,Wake Forest University,teaguje01
Mirza Teletovic,2013,2016,F,6-9,242,September 18 1985,,teletmi01
Sebastian Telfair,2005,2015,G,6-0,165,June 9 1985,,telfase01
Garrett Temple,2010,2016,G,6-6,195,May 8 1986,Louisiana State University,templga01
Jason Terry,2000,2016,G,6-2,185,September 15 1977,University of Arizona,terryja01
Isaiah Thomas,2012,2016,G,5-9,185,February 7 1989,University of Washington,thomais02
Lance Thomas,2012,2016,F,6-8,235,April 24 1988,Duke University,thomala01
Malcolm Thomas,2012,2015,F,6-9,225,November 8 1988,San Diego State University,thomama01
Tyrus Thomas,2007,2015,F,6-9,215,August 17 1986,Louisiana State University,thomaty01
Hollis Thompson,2014,2016,G-F,6-8,206,April 3 1991,Georgetown University,thompho01
Jason Thompson,2009,2016,F-C,6-11,250,July 21 1986,Rider University,thompja02
Klay Thompson,2012,2016,G,6-7,205,February 8 1990,Washington State University,thompkl01
Tristan Thompson,2012,2016,F-C,6-9,238,March 13 1991,University of Texas at Austin,thomptr01
Marcus Thornton,2010,2016,G,6-4,205,June 5 1987,Louisiana State University,thornma01
Anthony Tolliver,2009,2016,F-C,6-8,240,June 1 1985,Creighton University,tollian01
Karl-Anthony Towns,2016,2016,F-C,7-0,244,November 15 1995,University of Kentucky,townska01
Ronny Turiaf,2006,2015,F,6-10,249,January 13 1983,Gonzaga University,turiaro01
Evan Turner,2011,2016,G,6-7,220,October 27 1988,Ohio State University,turneev01
Myles Turner,2016,2016,F-C,6-11,243,March 24 1996,University of Texas at Austin,turnemy01
