Player,From,To,Pos,Ht,Wt,Birth Date,College,pname
Quincy Acy,2013,2016,F,6-7,240,October 6 1990,Baylor University,acyqu01
Alexis Ajinca,2009,2016,C,7-2,248,May 6 1988,,ajincal01
Cole Aldrich,2011,2016,C,6-11,250,October 31 1988,University of Kansas,aldrico01
Lavoy Allen,2012,2016,F-C,6-9,255,February 4 1989,Temple University,allenla01
Lou Amundson,2007,2015,F,6-9,220,December 7 1982,University of Nevada Las Vegas,amundlo01
Chris Andersen,2002,2016,F-C,6-10,245,July 7 1978,Blinn College,anderch01
Alan Anderson,2006,2015,G-F,6-6,220,October 16 1982,Michigan State University,anderal01
Kyle Anderson,2015,2016,G-F,6-9,230,September 20 1993,University of California Los Angeles,anderky01
Ryan Anderson,2009,2016,F,6-10,240,May 6 1988,University of California,anderry01
Giannis Antetokounmpo,2014,2016,F-G,6-11,222,December 6 1994,,antetgi01
Carmelo Anthony,2004,2016,F,6-8,240,May 29 1984,Syracuse University,anthoca01
Joel Anthony,2008,2015,C,6-9,245,August 9 1982,University of Nevada Las Vegas,anthojo01
Pero Antic,2014,2015,F,6-11,260,July 29 1982,,anticpe01
Trevor Ariza,2005,2016,F,6-8,215,June 30 1985,University of California Los Angeles,arizatr01
Darrell Arthur,2009,2016,F,6-9,235,March 25 1988,University of Kansas,arthuda01
Omer Asik,2011,2016,C,7-0,255,July 4 1986,,asikom01
